split,sent_id,token_id,token,lemma,upos,head,deprel
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,2,народні,народний,ADJ,3,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,3,депутати,депутат,NOUN,6,vocative
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,4,",",",",PUNCT,3,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,5,сьогодні,сьогодні,ADV,6,orphan
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,6,день,день,NOUN,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,7,народження,народження,NOUN,6,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,8,нашого,наш,DET,9,det
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,9,колеги,колега,NOUN,7,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,10,",",",",PUNCT,12,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,11,народного,народний,ADJ,12,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,12,депутата,депутат,NOUN,9,appos
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,13,України,Україна,PROPN,12,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,14,Білоруса,Білорус,PROPN,12,appos
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,15,Олега,Олег,PROPN,14,flat:name
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,16,Григоровича,Григорович,PROPN,15,flat:name
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s1,17,.,.,PUNCT,6,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,1,Давайте,давати,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,2,привітаємо,привітати,VERB,1,xcomp
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,3,його,він,PRON,2,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,4,",",",",PUNCT,5,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,5,побажаємо,побажати,VERB,2,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,6,міцного,міцний,ADJ,7,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,7,здоров'я,здоров'я,NOUN,5,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,8,і,і,CCONJ,9,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,9,успіхів,успіх,NOUN,7,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,10,в,в,ADP,11,case
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,11,роботі,робота,NOUN,9,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p6.lang1.s2,12,.,.,PUNCT,2,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s1,1,Шановні,шановний,ADJ,2,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s1,2,колеги,колега,NOUN,4,vocative
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s1,3,",",",",PUNCT,2,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s1,4,прошу,просити,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s1,5,прослухати,прослухати,VERB,4,xcomp
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s1,6,оголошення,оголошення,NOUN,5,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s1,7,.,.,PUNCT,4,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,1,Відповідно,відповідно,ADV,3,case
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,2,до,до,ADP,1,fixed
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,3,статей,стаття,NOUN,23,obl
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,4,4.2.2,4.2.2,NUM,3,nummod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,5,Регламенту,регламент,NOUN,3,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,6,Верховної,верховний,ADJ,7,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,7,Ради,рада,NOUN,5,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,8,України,Україна,PROPN,7,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,9,та,та,CCONJ,10,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,10,протоколу,протокол,NOUN,3,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,11,засідання,засідання,NOUN,10,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,12,депутатської,депутатський,ADJ,13,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,13,групи,група,NOUN,11,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,14,"""","""",PUNCT,16,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,15,Демократичні,демократичний,ADJ,16,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,16,ініціативи,ініціатива,NOUN,13,appos
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,17,"""","""",PUNCT,16,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,18,від,від,ADP,19,case
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,19,30,30,ADJ,10,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,20,вересня,вересень,NOUN,19,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,21,2003,2003,ADJ,22,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,22,року,рік,NOUN,19,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,23,інформую,інформувати,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,24,",",",",PUNCT,30,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,25,що,що,SCONJ,30,mark
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,26,уповноваженими,уповноважений,ADJ,27,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,27,представниками,представник,NOUN,30,xcomp
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,28,цієї,цей,DET,29,det
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,29,групи,група,NOUN,27,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,30,обрано,обрати,VERB,23,ccomp
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,31,також,також,ADV,30,advmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,32,народних,народний,ADJ,33,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,33,депутатів,депутат,NOUN,30,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,34,України,Україна,PROPN,33,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,35,Добкіна,Добкін,PROPN,33,appos
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,36,Михайла,Михайло,PROPN,35,flat:name
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,37,і,і,CCONJ,38,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,38,Резніка,Резнік,PROPN,35,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,39,Ігоря,Ігор,PROPN,38,flat:name
train,ParlaMint-UA_2003-10-14-m0.u1.p7.lang1.s2,40,.,.,PUNCT,23,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s1,1,Шановні,шановний,ADJ,2,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s1,2,колеги,колега,NOUN,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s1,3,!,!,PUNCT,2,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,1,У,у,ADP,2,case
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,2,вас,ви,PRON,3,obl
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,3,розданий,розданий,ADJ,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,4,розклад,розклад,NOUN,3,nsubj:pass
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,5,засідання,засідання,NOUN,4,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,6,",",",",PUNCT,8,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,7,я,я,PRON,8,nsubj
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,8,хочу,хотіти,VERB,3,parataxis
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,9,вам,ви,PRON,10,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,10,поінформувати,поінформувати,VERB,8,xcomp
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s2,11,.,.,PUNCT,8,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,1,Прошу,просити,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,2,уваги,увага,NOUN,1,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,3,",",",",PUNCT,5,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,4,нам,ми,PRON,5,iobj
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,5,треба,треба,ADV,1,parataxis
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,6,зараз,зараз,ADV,5,advmod
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,7,буде,бути,AUX,8,cop
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,8,проголосувати,проголосувати,VERB,5,csubj
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,9,питання,питання,NOUN,8,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p8.lang1.s3,10,.,.,PUNCT,5,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,1,Погоджувальна,погоджувальний,ADJ,2,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,2,рада,рада,NOUN,7,nsubj
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,3,депутатських,депутатський,ADJ,4,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,4,фракцій,фракція,NOUN,2,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,5,і,і,CCONJ,6,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,6,груп,група,NOUN,4,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,7,прийняла,прийняти,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,8,рішення,рішення,NOUN,7,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,9,рекомендувати,рекомендувати,VERB,8,acl
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,10,Верховній,верховний,ADJ,11,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,11,Раді,рада,NOUN,9,iobj
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,12,України,Україна,PROPN,11,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,13,розглянути,розглянути,VERB,8,acl
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,14,сьогодні,сьогодні,ADV,13,advmod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,15,",",",",PUNCT,17,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,16,як,як,SCONJ,17,mark
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,17,виняток,виняток,NOUN,13,advcl
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,18,",",",",PUNCT,17,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,19,питання,питання,NOUN,13,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,20,про,про,ADP,21,case
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,21,включення,включення,NOUN,19,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,22,до,до,ADP,23,case
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,23,порядку,порядок,NOUN,21,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,24,денного,денний,ADJ,23,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,25,і,і,CCONJ,26,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,26,прийняття,прийняття,NOUN,21,conj
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,27,рішень,рішення,NOUN,26,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,28,з,з,ADP,30,case
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,29,двох,два,NUM,30,nummod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,30,питань,питання,NOUN,27,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p9.lang1.s1,31,.,.,PUNCT,7,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s1,1,Перше,перше,NOUN,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s1,2,.,.,PUNCT,1,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,1,Про,про,ADP,2,case
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,2,внесення,внесення,NOUN,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,3,змін,зміна,NOUN,2,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,4,до,до,ADP,6,case
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,5,календарного,календарний,ADJ,6,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,6,плану,план,NOUN,3,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,7,проведення,проведення,NOUN,6,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,8,четвертої,четвертий,ADJ,9,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,9,сесії,сесія,NOUN,7,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,10,Верховної,верховний,ADJ,11,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,11,Ради,рада,NOUN,9,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,12,України,Україна,PROPN,11,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,13,четвертого,четвертий,ADJ,14,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,14,скликання,скликання,NOUN,11,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,15,мається,матися,VERB,2,parataxis
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,16,на,на,ADP,17,case
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,17,увазі,увага,NOUN,15,obl:arg
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,18,",",",",PUNCT,20,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,19,наступного,наступний,ADJ,20,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,20,четверга,четвер,NOUN,25,obl
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,21,",",",",PUNCT,23,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,22,тобто,тобто,CCONJ,23,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,23,23,23,ADJ,20,appos
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,24,жовтня,жовтень,NOUN,23,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,25,провести,провести,VERB,15,xcomp
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,26,пленарне,пленарний,ADJ,27,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,27,засідання,засідання,NOUN,25,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,28,",",",",PUNCT,31,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,29,на,на,ADP,30,case
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,30,якому,який,DET,31,obl
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,31,розглянути,розглянути,VERB,27,acl:relcl
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,32,питання,питання,NOUN,31,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,33,бюджету,бюджет,NOUN,32,nmod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s2,34,.,.,PUNCT,15,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,1,Присвятити,присвятити,VERB,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,2,",",",",PUNCT,5,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,3,якщо,якщо,SCONJ,5,mark
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,4,буде,бути,AUX,5,cop
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,5,потрібно,потрібно,ADV,1,advcl
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,6,",",",",PUNCT,5,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,7,для,для,ADP,8,case
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,8,цього,це,PRON,1,obl
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,9,цілий,цілий,ADJ,10,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,10,день,день,NOUN,1,obj
train,ParlaMint-UA_2003-10-14-m0.u1.p10.lang1.s3,11,.,.,PUNCT,1,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p11.lang1.s1,1,І,і,CCONJ,3,cc
train,ParlaMint-UA_2003-10-14-m0.u1.p11.lang1.s1,2,друге,другий,ADJ,3,amod
train,ParlaMint-UA_2003-10-14-m0.u1.p11.lang1.s1,3,питання,питання,NOUN,0,root
train,ParlaMint-UA_2003-10-14-m0.u1.p11.lang1.s1,4,.,.,PUNCT,3,punct
train,ParlaMint-UA_2003-10-14-m0.u1.p11.lang1.s2,1,Про,про,ADP,2,case
