sent_id,processed_text,lemma_text,upos_seq
NSDC_UA_28_Feb2014-108,Для них служба - це заробіток .,для вони служба — це заробіток .,ADP PRON NOUN PUNCT PRON NOUN PUNCT
NSDC_UA_28_Feb2014-109,Настрій населення в Криму ви знаєте .,настрій населення в Крим ви знати .,NOUN NOUN ADP PROPN PRON VERB PUNCT
NSDC_UA_28_Feb2014-11,"За нашою інформацією , яка надходить з різних джерел , військове керівництво Російської Федерації реально розглядає питання анексії Автономної Республіки Крим .","за наш інформація , який надходити з різний джерело , військовий керівництво російський федерація реально розглядати питання анексія автономний республіка Крим .",ADP DET NOUN PUNCT DET VERB ADP ADJ NOUN PUNCT ADJ NOUN ADJ NOUN ADV VERB NOUN NOUN ADJ NOUN PROPN PUNCT
NSDC_UA_28_Feb2014-110,"Плюс молодь , "" срочники "" , які вряд чи будуть воювати .","плюс молодь , "" срочник "" , який вряд чи бути воювати .",ADP NOUN PUNCT PUNCT NOUN PUNCT PUNCT DET PART PART AUX VERB PUNCT
NSDC_UA_28_Feb2014-111,"Готових виконати наказ щодо застосування зброї буде 1,5-2 тисячі максимум .","готовий виконати наказ щодо застосування зброя бути 1,5—2 тисяча максимум .",ADJ VERB NOUN ADP NOUN NOUN AUX NUM NOUN ADV PUNCT
NSDC_UA_28_Feb2014-112,"З російського боку в Криму , окрім сил Чорноморського флоту , йде постійне перекидання штурмових підрозділів збройних сил та спецназу ГРУ ГШ РФ .","з російський бік в Крим , окрім сила чорноморський флот , йти постійний перекидання штурмовий підрозділ збройний сила та спецназ ГРУ ГШ РФ .",ADP ADJ NOUN ADP PROPN PUNCT ADP NOUN ADJ NOUN PUNCT VERB ADJ NOUN ADJ NOUN ADJ NOUN CCONJ NOUN PROPN PROPN PROPN PUNCT
NSDC_UA_28_Feb2014-113,Вже зараз бойова компонента перевищує 20 тисяч осіб .,вже зараз бойовий компонента перевищувати 20 тисяча особа .,ADV ADV ADJ NOUN VERB NUM NOUN NOUN PUNCT
NSDC_UA_28_Feb2014-114,"Але кількість російських військових , бойової техніки та зброї постійно зростає .","але кількість російський військовий , бойовий техніка та зброя постійно зростати .",CCONJ NOUN ADJ NOUN PUNCT ADJ NOUN CCONJ NOUN ADV VERB PUNCT
NSDC_UA_28_Feb2014-115,Слово Міністру закордонних справ .,слово міністр закордонний справа .,NOUN NOUN ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-116,"Міністерство закордонних справ розробило заяву , передало ноту , а потім внесло пропозиції провести двосторонні консультації з російською стороною .","міністерство закордонний справа розробити заява , передати нота , а потім внести пропозиція провести двосторонній консультація з російський сторона .",NOUN ADJ NOUN VERB NOUN PUNCT VERB NOUN PUNCT CCONJ ADV VERB NOUN VERB ADJ NOUN ADP ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-117,"Ми маємо намір зробити заяву про проведення консультацій на рівні міністрів закордонних справ в рамках Будапештського меморандуму : - міністрів закордонних справ США , Великобританії і Росії .","ми мати намір зробити заява про проведення консультація на рівень міністр закордонний справа в рамка будапештський меморандум : — міністр закордонний справа США , Великобританія і Росія .",PRON VERB NOUN VERB NOUN ADP NOUN NOUN ADP NOUN NOUN ADJ NOUN ADP NOUN ADJ NOUN PUNCT PUNCT NOUN ADJ NOUN PROPN PUNCT PROPN CCONJ PROPN PUNCT
NSDC_UA_28_Feb2014-118,"Я зустрівся сьогодні також з міністрами закордонних справ "" Вишеградської четвірки "" .","я зустрітися сьогодні також з міністр закордонний справа "" вишеградський четвірка "" .",PRON VERB ADV ADV ADP NOUN ADJ NOUN PUNCT ADJ NOUN PUNCT PUNCT
NSDC_UA_28_Feb2014-119,"Всі вони на рівні своєму висловлюють занепокоєння , але своїх планів і дій вони не повідомляють .","весь вони на рівень свій висловлювати занепокоєння , але свій план і дія вони не повідомляти .",DET PRON ADP NOUN DET VERB NOUN PUNCT CCONJ DET NOUN CCONJ NOUN PRON PART VERB PUNCT
NSDC_UA_28_Feb2014-12,"Я би просив зараз кожного керівника силових структур чітко проінформувати про ситуацію в АРК про план заходів , як вжитих , так і тих , що необхідно негайно запроваджувати .","я би просити зараз кожний керівник силовий структура чітко проінформувати про ситуація в АРК про план захід , як вжитий , так і той , що необхідно негайно запроваджувати .",PRON AUX VERB ADV DET NOUN ADJ NOUN ADV VERB ADP NOUN ADP PROPN ADP NOUN NOUN PUNCT CCONJ ADJ PUNCT ADV PART DET PUNCT SCONJ ADV ADV VERB PUNCT
NSDC_UA_28_Feb2014-120,Всі просять нас не робити поспішних кроків .,весь просити ми не робити поспішний крок .,DET VERB PRON PART VERB ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-121,"Можна , звичайно , підготувати заяву Міністерства закордонних справ про невиконання російською стороною Угоди про базування Чорноморського флоту Російської Федерації та військову агресію Росії , але я думаю , що це буде значно сильніший мати ефект , якщо це буде зроблено на рівні Уряду …","можна , звичайно , підготувати заява міністерство закордонний справа про невиконання російський сторона угода про базування чорноморський флот російський федерація та військовий агресія Росія , але я думати , що це бути значно сильніший мати ефект , якщо це бути зробити на рівень уряд …",ADV PUNCT ADV PUNCT VERB NOUN NOUN ADJ NOUN ADP NOUN ADJ NOUN NOUN ADP NOUN ADJ NOUN ADJ NOUN CCONJ ADJ NOUN PROPN PUNCT CCONJ PRON VERB PUNCT SCONJ PRON AUX ADV ADJ VERB NOUN PUNCT SCONJ PRON AUX VERB ADP NOUN NOUN PUNCT
NSDC_UA_28_Feb2014-122,"Прем'єр-міністр , будь ласка !","прем'єр-міністр , бути ласка !",NOUN PUNCT VERB NOUN PUNCT
NSDC_UA_28_Feb2014-123,"Я думаю , що у нас є два сценарії .","я думати , що у ми бути два сценарій .",PRON VERB PUNCT SCONJ ADP PRON VERB NUM NOUN PUNCT
NSDC_UA_28_Feb2014-124,"Зрозуміло , що Росія буде використовувати колишнього президента України в цьому сценарії .","зрозуміло , що Росія бути використовувати колишній президент Україна в цей сценарій .",ADV PUNCT SCONJ PROPN AUX VERB ADJ NOUN PROPN ADP DET NOUN PUNCT
NSDC_UA_28_Feb2014-125,"І в мене немає сумніву , що Росія буде іти до кінця в частині захоплення та оголошення незалежності Криму , або , як проміжний варіант , варіант федералізації .","і в я немає сумнів , що Росія бути іти до кінець в частина захоплення та оголошення незалежність Крим , або , як проміжний варіант , варіант федералізація .",CCONJ ADP PRON VERB NOUN PUNCT SCONJ PROPN AUX VERB ADP NOUN ADP NOUN NOUN CCONJ NOUN NOUN PROPN PUNCT CCONJ PUNCT SCONJ ADJ NOUN PUNCT NOUN NOUN PUNCT
NSDC_UA_28_Feb2014-126,"Те , що я почув зараз , а також сьогодні вранці , Олександр Валентинович , коли розмовляв з Міністром оборони , скажу свою думку : ми не готові до військової операції , на жаль , для нас .","те , що я почути зараз , а також сьогодні вранці , Олександр Валентинович , коли розмовляти з міністр оборона , сказати свій думка : ми не готовий до військовий операція , на жаль , для ми .",PRON PUNCT SCONJ PRON VERB ADV PUNCT CCONJ ADV ADV ADV PUNCT PROPN PROPN PUNCT SCONJ VERB ADP NOUN NOUN PUNCT VERB DET NOUN PUNCT PRON PART ADJ ADP ADJ NOUN PUNCT ADP NOUN PUNCT ADP PRON PUNCT
NSDC_UA_28_Feb2014-127,І це знають росіяни .,і це знати росіянин .,CCONJ PRON VERB NOUN PUNCT
NSDC_UA_28_Feb2014-128,"Тому , можливо , нам тут прийдеться робити декілька невідкладних речей .","тому , можливо , ми тут прийтися робити декілька невідкладний річ .",ADV PUNCT ADV PUNCT PRON ADV VERB VERB DET ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-129,"Перше : необхідно , щоб терміново агресія Росії проти України була розглянута в Раді Безпеки ООН .","перше : необхідно , щоб терміново агресія Росія проти Україна бути розглянутий в рада безпека ООН .",NOUN PUNCT ADV PUNCT SCONJ ADV NOUN PROPN ADP PROPN AUX ADJ ADP NOUN NOUN PROPN PUNCT
NSDC_UA_28_Feb2014-13,"Будь ласка , Служба безпеки України .","бути ласка , служба безпека Україна .",VERB NOUN PUNCT NOUN NOUN PROPN PUNCT
NSDC_UA_28_Feb2014-130,Негайно !,негайно !,ADV PUNCT
NSDC_UA_28_Feb2014-131,Невідкладно завтра ми приймемо рішення Кабінету Міністрів з приводу звернення до Ради Безпеки ООН .,невідкладно завтра ми прийняти рішення кабінет міністр з привід звернення до рада безпека ООН .,ADV ADV PRON VERB NOUN NOUN NOUN ADP NOUN NOUN ADP NOUN NOUN PROPN PUNCT
NSDC_UA_28_Feb2014-132,Друге : ми відправили ноти та готуємо звернення Кабінету Міністрів про консультації в рамках Будапештського меморандуму .,друге : ми відправити нота та готувати звернення кабінет міністр про консультація в рамка будапештський меморандум .,NOUN PUNCT PRON VERB NOUN CCONJ VERB NOUN NOUN NOUN ADP NOUN ADP NOUN ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-133,"Третє : запропонувати формулу , як долучити ОБСЄ .","третє : запропонувати формула , як долучити ОБСЄ .",NOUN PUNCT VERB NOUN PUNCT SCONJ VERB PROPN PUNCT
NSDC_UA_28_Feb2014-134,"Четверте : я прошу Міністра оборони , Головне управління розвідки Міністерства оборони і Службу безпеки України на завтра на засідання Кабінету Міністрів , точніше сьогодні до ночі , і Державну прикордонну службу подати дані про те , які відбуваються порушення з боку Росії , з підтвердженими відео- та фотофактами .","четверте : я просити міністр оборона , головний управління розвідка міністерство оборона і служба безпека Україна на завтра на засідання кабінет міністр , точніше сьогодні до ніч , і державний прикордонний служба подати дані про те , який відбуватися порушення з бік Росія , з підтверджений відеофакт та фотофакт .",NOUN PUNCT PRON VERB NOUN NOUN PUNCT ADJ NOUN NOUN NOUN NOUN CCONJ NOUN NOUN PROPN ADP ADV ADP NOUN NOUN NOUN PUNCT ADV ADV ADP NOUN PUNCT CCONJ ADJ ADJ NOUN VERB NOUN ADP PRON PUNCT DET VERB NOUN ADP NOUN PROPN PUNCT ADP ADJ NOUN CCONJ NOUN PUNCT
NSDC_UA_28_Feb2014-135,"Це необхідно , щоб говорити з нашими партнерами .","це необхідно , щоб говорити з наш партнер .",PRON ADV PUNCT SCONJ VERB ADP DET NOUN PUNCT
NSDC_UA_28_Feb2014-136,"Також , шановний Олександре Валентиновичу , прохання , щоб Ви дали доручення , в першу чергу , Службі безпеки України , Службі розвідки , Головному управлінню розвідки провести ідентифікацію осіб , які без розпізнавальних ознак зі зброєю захоплюють об'єкти в Криму , щоб у нас були дані , фактаж про участь військових Російської Федерації .","також , шановний Олександр Валентинович , прохання , щоб ви дати доручення , в перший черга , служба безпека Україна , служба розвідка , головний управління розвідка провести ідентифікація особа , який без розпізнавальний ознака зі зброя захоплювати об'єкт в Крим , щоб у ми бути дані , фактаж про участь військовий російський федерація .",ADV PUNCT ADJ PROPN PROPN PUNCT NOUN PUNCT SCONJ PRON VERB NOUN PUNCT ADP ADJ NOUN PUNCT NOUN NOUN PROPN PUNCT NOUN NOUN PUNCT ADJ NOUN NOUN VERB NOUN NOUN PUNCT DET ADP ADJ NOUN ADP NOUN VERB NOUN ADP PROPN PUNCT SCONJ ADP PRON AUX ADJ PUNCT NOUN ADP NOUN NOUN ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-137,"Якщо б у нас був варіант політичного рішення , Олександре Валентиновичу , то видається , що правильне політичне рішення було б : розпочати переговори з тими , хто представляє сьогодні незаконно обрану владу в Криму з метою політичної стабілізації через прийняття Верховною Радою України нового Закону України "" Про Конституцію Автономної Республіки Крим "" , який би передбачав формування самостійної системи фінансів , я її назвав би умовно самостійною , наприклад , залишення в розпорядженні бюджету Автономії податку на додану вартість , відрахування частини акцизного збору і вирішення так званих мовних національно-культурних і етнічних питань .","якщо б у ми бути варіант політичний рішення , Олександр Валентинович , то видаватися , що правильний політичний рішення бути б : розпочати переговори з той , хто представляти сьогодні незаконно обраний влада в Крим з мета політичний стабілізація через прийняття верховний рада Україна новий закон Україна "" про конституція автономний республіка Крим "" , який би передбачати формування самостійний система фінанси , я вона назвати би умовно самостійний , наприклад , залишення в розпорядження бюджет автономія податок на доданий вартість , відрахування частина акцизний збір і вирішення так званий мовний національно-культурний і етнічний питання .",SCONJ AUX ADP PRON VERB NOUN ADJ NOUN PUNCT PROPN PROPN PUNCT SCONJ VERB PUNCT SCONJ ADJ ADJ NOUN AUX AUX PUNCT VERB NOUN ADP DET PUNCT PRON VERB ADV ADV ADJ NOUN ADP PROPN ADP NOUN ADJ NOUN ADP NOUN ADJ NOUN PROPN ADJ NOUN PROPN PUNCT ADP NOUN ADJ NOUN PROPN PUNCT PUNCT DET AUX VERB NOUN ADJ NOUN NOUN PUNCT PRON PRON VERB AUX ADV ADJ PUNCT ADV PUNCT NOUN ADP NOUN NOUN NOUN NOUN ADP ADJ NOUN PUNCT NOUN NOUN ADJ NOUN CCONJ NOUN ADV ADJ ADJ ADJ CCONJ ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-138,"Такий варіант можливий , його треба розглядати як основний , але цей варіант буде зупинений Російською Федерацією , тому що вони не зацікавлені в мирному вирішенні конфлікту .","такий варіант можливий , він треба розглядати як основний , але цей варіант бути зупинений російський федерація , тому що вони не зацікавлений в мирний вирішення конфлікт .",DET NOUN ADJ PUNCT PRON ADV VERB SCONJ ADJ PUNCT CCONJ DET NOUN AUX ADJ ADJ NOUN PUNCT ADV SCONJ PRON PART ADJ ADP ADJ NOUN NOUN PUNCT
NSDC_UA_28_Feb2014-139,"Ще раз хочу підкреслити , з тієї доповіді військових , яку я почув , ми не готові до військової операції , але вірогідність військової операції з боку Росії надвисока .","ще раз хотіти підкреслити , з той доповідь військовий , який я почути , ми не готовий до військовий операція , але вірогідність військовий операція з бік Росія надвисокий .",ADV NOUN VERB VERB PUNCT ADP DET NOUN NOUN PUNCT DET PRON VERB PUNCT PRON PART ADJ ADP ADJ NOUN PUNCT CCONJ NOUN ADJ NOUN ADP NOUN PROPN ADJ PUNCT
NSDC_UA_28_Feb2014-14,Шановний Олександр Валентинович !,шановний Олександр Валентинович !,ADJ PROPN PROPN PUNCT
NSDC_UA_28_Feb2014-140,"Вірогідність військової операції з боку Росії - це означає блокування військово-морських сил України , що є ніщо інше , як військовий конфлікт .","вірогідність військовий операція з бік Росія — це означати блокування військово-морський сила Україна , що бути ніщо інше , як військовий конфлікт .",NOUN ADJ NOUN ADP NOUN PROPN PUNCT PRON VERB NOUN ADJ NOUN PROPN PUNCT SCONJ AUX PRON DET PUNCT SCONJ ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-141,І тому нам треба другим етапом думати що означає військовий конфлікт ?,і тому ми треба другий етап думати що означати військовий конфлікт ?,CCONJ ADV PRON ADV ADJ NOUN VERB SCONJ VERB ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-142,"Він не перейде в категорію "" заморожених "" , я думаю , що він перейде в категорію "" гарячих "" .","він не перейти в категорія "" заморожений "" , я думати , що він перейти в категорія "" гарячий "" .",PRON PART VERB ADP NOUN PUNCT ADJ PUNCT PUNCT PRON VERB PUNCT SCONJ PRON VERB ADP NOUN PUNCT ADJ PUNCT PUNCT
NSDC_UA_28_Feb2014-143,"Також шкода , що два кораблі шостого флоту Сполучених Штатів покинули Чорне море .","також шкода , що два корабель шостий флот сполучений штат покинути чорний море .",ADV ADV PUNCT SCONJ NUM NOUN ADJ NOUN ADJ NOUN VERB ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-144,"Один із них , здається , десь на мілині мав бути …","один із вони , здаватися , десь на мілина мати бути …",NUM ADP PRON PUNCT VERB PUNCT ADV ADP NOUN VERB VERB PUNCT
NSDC_UA_28_Feb2014-145,Ми звернемось до наших партнерів з метою забезпечення миру і стабільності в Чорноморському регіоні .,ми звернутися до наш партнер з мета забезпечення мир і стабільність в чорноморський регіон .,PRON VERB ADP DET NOUN ADP NOUN NOUN NOUN CCONJ NOUN ADP ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-146,"Просто вчора ми дізнались , наскільки загрозлива ситуація , але я сьогодні переговорив з віце-президентом Сполучених Штатів Америки з цього питання .","просто вчора ми дізнатися , наскільки загрозливий ситуація , але я сьогодні переговорити з віце-президент сполучений штат Америка з цей питання .",PART ADV PRON VERB PUNCT ADV ADJ NOUN PUNCT CCONJ PRON ADV VERB ADP NOUN ADJ NOUN PROPN ADP DET NOUN PUNCT
NSDC_UA_28_Feb2014-147,У них поки що немає позиції .,у вони поки що немає позиція .,ADP PRON ADV SCONJ VERB NOUN PUNCT
NSDC_UA_28_Feb2014-148,"Пропозиції , я зрозумів , приблизно такі : вимагати від гарантів нашої недоторканності та цілісності за Будапештським меморандумом виконати свої обов'язки .","пропозиція , я зрозуміти , приблизно такий : вимагати від гарант наш недоторканність та цілісність за будапештський меморандум виконати свій обов'язок .",NOUN PUNCT PRON VERB PUNCT ADV DET PUNCT VERB ADP NOUN DET NOUN CCONJ NOUN ADP ADJ NOUN VERB DET NOUN PUNCT
NSDC_UA_28_Feb2014-149,Наші стратегічні партнери мають потужний військовий потенціал і їхня присутність в Чорному морі була би стабілізуючим фактором .,наш стратегічний партнер мати потужний військовий потенціал і їхній присутність в чорний море бути би стабілізуючий фактор .,DET ADJ NOUN VERB ADJ ADJ NOUN CCONJ DET NOUN ADP ADJ NOUN AUX AUX ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-15,Шановні члени Ради нацбезпеки України !,шановний член рада нацбезпека Україна !,ADJ NOUN NOUN NOUN PROPN PUNCT
NSDC_UA_28_Feb2014-150,"І , звичайно , найважливіше питання сьогодні - це відновлення потенціалу та посилення Збройних сил , підвищення рівня бойової готовності …","і , звичайно , найважливіший питання сьогодні — це відновлення потенціал та посилення збройний сила , підвищення рівень бойовий готовність …",CCONJ PUNCT ADV PUNCT ADJ NOUN ADV PUNCT PRON NOUN NOUN CCONJ NOUN ADJ NOUN PUNCT NOUN NOUN ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-151,"Шановні колеги , я пропоную запросити до Києва керівників прокуратури , СБУ та міліції з Криму , тому що там переважна більшість - зрадники .","шановний колега , я пропонувати запросити до Київ керівник прокуратура , СБУ та міліція з Крим , тому що там переважний більшість — зрадник .",ADJ NOUN PUNCT PRON VERB VERB ADP PROPN NOUN NOUN PUNCT PROPN CCONJ NOUN ADP PROPN PUNCT ADV SCONJ ADV ADJ NOUN PUNCT NOUN PUNCT
NSDC_UA_28_Feb2014-152,"А ми повинні знати , хто на нашій стороні зараз , а хто ні !","а ми повинний знати , хто на наш сторона зараз , а хто ні !",CCONJ PRON ADJ VERB PUNCT PRON ADP DET NOUN ADV PUNCT CCONJ PRON PART PUNCT
NSDC_UA_28_Feb2014-153,З Криму .,з Крим .,ADP PROPN PUNCT
NSDC_UA_28_Feb2014-154,Згоден !,згодний !,ADJ PUNCT
NSDC_UA_28_Feb2014-155,Нам потрібен розклад сил в кожному районі Криму по всіх силових структурах .,ми потрібний розклад сила в кожний район Крим по весь силовий структура .,PRON ADJ NOUN NOUN ADP DET NOUN PROPN ADP DET ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-156,"Робіть ротацію , кадрові призначення , але забезпечте роботу прокуратури , МВС , СБУ та функціонування військових частин на півострові !","робити ротація , кадровий призначення , але забезпечити робота прокуратура , МВС , СБУ та функціонування військовий частина на півострів !",VERB NOUN PUNCT ADJ NOUN PUNCT CCONJ VERB NOUN NOUN PUNCT NOUN PUNCT NOUN CCONJ NOUN ADJ NOUN ADP NOUN PUNCT
NSDC_UA_28_Feb2014-157,"Ми повинні знати , хто готовий захищати Україну , а хто не готовий !","ми повинний знати , хто готовий захищати Україна , а хто не готовий !",PRON ADJ VERB PUNCT PRON ADJ VERB PROPN PUNCT CCONJ PRON PART ADJ PUNCT
NSDC_UA_28_Feb2014-158,Це реальні кроки .,це реальний крок .,PRON ADJ NOUN PUNCT
NSDC_UA_28_Feb2014-159,Під час підготовки першочергових цих дій нами з'ясовано домінуючу позицію цивільного населення Криму .,під час підготовка першочерговий цей дія ми з'ясувати домінуючий позиція цивільний населення Крим .,ADP NOUN NOUN ADJ DET NOUN PRON VERB ADJ NOUN ADJ NOUN PROPN PUNCT
NSDC_UA_28_Feb2014-16,Служба безпеки на додаток до попередніх нарад і доповідей доповідає про таке : спочатку політична ситуація і місцеві політики Криму .,служба безпека на додаток до попередній нарада і доповідь доповідати про таке : спочатку політичний ситуація і місцевий політика Крим .,NOUN NOUN ADP NOUN ADP ADJ NOUN CCONJ NOUN VERB ADP PRON PUNCT ADV ADJ NOUN CCONJ ADJ NOUN PROPN PUNCT
NSDC_UA_28_Feb2014-160,"Коли відбувається ініціатива захоплення приміщень державних установ , вони говорять : "" Коли у вас у Києві можна , а чому у нас в Криму не можна захоплювати "" .","коли відбуватися ініціатива захоплення приміщення державний установа , вони говорити : "" коли у ви у Київ можна , а чому у ми в Крим не можна захоплювати "" .",ADV VERB NOUN NOUN NOUN ADJ NOUN PUNCT PRON VERB PUNCT PUNCT ADV ADP PRON ADP PROPN ADV PUNCT CCONJ ADV ADP PRON ADP PROPN PART ADV VERB PUNCT PUNCT
NSDC_UA_28_Feb2014-161,"Тому сьогодні хотів би звернутися до Секретаря Ради національної безпеки і оборони Андрія Парубія максимально сьогодні звільнити приміщення , які захоплені Самообороною , для того щоб показати , що у нас діє закон і порядок …","тому сьогодні хотіти би звернутися до секретар рада національний безпека і оборона Андрій Парубій максимально сьогодні звільнити приміщення , який захоплений самооборона , для те щоб показати , що у ми діяти закон і порядок …",ADV ADV VERB AUX VERB ADP NOUN NOUN ADJ NOUN CCONJ NOUN PROPN PROPN ADV ADV VERB NOUN PUNCT DET ADJ NOUN PUNCT ADP PRON SCONJ VERB PUNCT SCONJ ADP PRON VERB NOUN CCONJ NOUN PUNCT
NSDC_UA_28_Feb2014-162,"Й Арсен Борисович давав інформацію по цьому "" Беркуту "" , який сьогодні зайняв оборону "" Перешийку "" і перекрив Крим .","й Арсен Борисович давати інформація по це "" Беркут "" , який сьогодні зайняти оборона "" перешийок "" і перекрити Крим .",CCONJ PROPN PROPN VERB NOUN ADP DET PUNCT PROPN PUNCT PUNCT DET ADV VERB NOUN PUNCT NOUN PUNCT CCONJ VERB PROPN PUNCT
NSDC_UA_28_Feb2014-163,"Основне - зверталися , чому вони зорганізували ці блокпости ?","основне – звертатися , чому вони зорганізувати цей блокпост ?",NOUN PUNCT VERB PUNCT ADV PRON VERB DET NOUN PUNCT
NSDC_UA_28_Feb2014-164,"Це те , що вони побачили , як Сашко Білий у приміщенні обласної ради погрожував автоматом .","це те , що вони побачити , як Сашко Білий у приміщення обласний рада погрожувати автомат .",PRON PRON PUNCT SCONJ PRON VERB PUNCT SCONJ PROPN PROPN ADP NOUN ADJ NOUN VERB NOUN PUNCT
NSDC_UA_28_Feb2014-165,"Поки в Україні не буде діяти закон , поки будуть продовжуватись захоплення приміщень та майна так званими "" патріотами "" , у ворогів України будуть сильні аргументи робити те ж саме .","поки в Україна не бути діяти закон , поки бути продовжуватися захоплення приміщення та майно так званий "" патріот "" , у ворог Україна бути сильний аргумент робити те ж самий .",SCONJ ADP PROPN PART AUX VERB NOUN PUNCT SCONJ AUX VERB NOUN NOUN CCONJ NOUN ADV ADJ PUNCT NOUN PUNCT PUNCT ADP NOUN PROPN AUX ADJ NOUN VERB PRON PART DET PUNCT
NSDC_UA_28_Feb2014-166,А потім побив прокурора .,а потім побити прокурор .,CCONJ ADV VERB NOUN PUNCT
NSDC_UA_28_Feb2014-167,"Так , а на наступний день побив прокурора .","так , а на наступний день побити прокурор .",ADV PUNCT CCONJ ADP ADJ NOUN VERB NOUN PUNCT
NSDC_UA_28_Feb2014-168,"Я думаю , що на сьогодні нам потрібно вживати жорстких заходів , його затримати і відкрити справу , для того щоб показати людям , що у нас є влада .","я думати , що на сьогодні ми потрібно вживати жорсткий захід , він затримати і відкрити справа , для те щоб показати людина , що у ми бути влада .",PRON VERB PUNCT SCONJ ADP ADV PRON ADV VERB ADJ NOUN PUNCT PRON VERB CCONJ VERB NOUN PUNCT ADP PRON SCONJ VERB NOUN PUNCT SCONJ ADP PRON VERB NOUN PUNCT
NSDC_UA_28_Feb2014-169,Дякую !,дякувати !,VERB PUNCT
NSDC_UA_28_Feb2014-17,"Константинов - Голова Верховної Ради Криму , а також новообраний прем'єр , в усякому разі оголошено , що він новообраний , Аксьонов - ключові фігури Криму , які знаходяться в повній співпраці , взаємодії і в плануванні з російськими військовими Чорноморського флоту Російської Федерації .","Константинов — голова верховний рада Крим , а також новообраний прем'єр , в усякий раз оголосити , що він новообраний , Аксьонов — ключовий фігура Крим , який знаходитися в повний співпраця , взаємодія і в планування з російський військовий чорноморський флот російський федерація .",PROPN PUNCT NOUN ADJ NOUN PROPN PUNCT CCONJ ADV ADJ NOUN PUNCT ADP DET NOUN VERB PUNCT SCONJ PRON ADJ PUNCT PROPN PUNCT ADJ NOUN PROPN PUNCT DET VERB ADP ADJ NOUN PUNCT NOUN CCONJ ADP NOUN ADP ADJ NOUN ADJ NOUN ADJ NOUN PUNCT
